DSSGraph Plot Output, Caption=(L-N Voltage Profile), X=(Distance (km)), Y=(p.u. Voltage)
X1, Y1, X2, Y2, RGBColor, Width, StyleCode
0, 1.0463539, 0.019593344, 1.0462664, 0, 2, 1
0, 1.0499664, 0.019593344, 1.0499039, 255, 2, 1
0, 1.0501549, 0.019593344, 1.0502076, 16711680, 2, 1
0.019593344, 1.0462664, 0.044845626, 1.0461536, 0, 2, 1
0.019593344, 1.0499039, 0.044845626, 1.0498235, 255, 2, 1
0.019593344, 1.0502076, 0.044845626, 1.0502756, 16711680, 2, 1
0.044845626, 1.0461536, 0.11411833, 1.0458434, 0, 2, 1
0.044845626, 1.0498235, 0.11411833, 1.0496033, 255, 2, 1
0.044845626, 1.0502756, 0.11411833, 1.0504633, 16711680, 2, 1
0.11411833, 1.0458434, 0.22106699, 1.0453645, 0, 2, 1
0.11411833, 1.0496033, 0.22106699, 1.0492636, 255, 2, 1
0.11411833, 1.0504633, 0.22106699, 1.0507531, 16711680, 2, 1
0.22106699, 1.0453645, 0.34367148, 1.0448154, 0, 2, 1
0.22106699, 1.0492636, 0.34367148, 1.0488744, 255, 2, 1
0.22106699, 1.0507531, 0.34367148, 1.0510853, 16711680, 2, 1
0.34367148, 1.0448154, 0.38783142, 1.0446176, 0, 2, 1
0.34367148, 1.0488744, 0.38783142, 1.0487343, 255, 2, 1
0.34367148, 1.0510853, 0.38783142, 1.0512049, 16711680, 2, 1
0.38783142, 1.0446176, 0.49339158, 1.044102, 0, 2, 1
0.38783142, 1.0487343, 0.49339158, 1.0483662, 255, 2, 1
0.38783142, 1.0512049, 0.49339158, 1.0515693, 16711680, 2, 1
0.49339158, 1.044102, 0.49439158, 1.0440923, 0, 2, 1
0.49339158, 1.0483662, 0.49439158, 1.0483525, 255, 2, 1
0.49339158, 1.0515693, 0.49439158, 1.0515705, 16711680, 2, 1
0.49439158, 1.0440923, 0.53950028, 1.0438723, 0, 2, 1
0.49439158, 1.0483525, 0.53950028, 1.0481949, 255, 2, 1
0.49439158, 1.0515705, 0.53950028, 1.0517263, 16711680, 2, 1
0.53950028, 1.0438723, 0.56078074, 1.0437206, 0, 2, 1
0.53950028, 1.0481949, 0.56078074, 1.0480732, 255, 2, 1
0.53950028, 1.0517263, 0.56078074, 1.0517526, 16711680, 2, 1
0.56078074, 1.0437206, 0.56178074, 1.0437049, 0, 2, 1
0.56078074, 1.0480732, 0.56178074, 1.0480535, 255, 2, 1
0.56078074, 1.0517526, 0.56178074, 1.0517477, 16711680, 2, 1
0.56178074, 1.0437049, 0.61746288, 1.0433078, 0, 2, 1
0.56178074, 1.0480535, 0.61746288, 1.047735, 255, 2, 1
0.56178074, 1.0517477, 0.61746288, 1.0518164, 16711680, 2, 1
0.61746288, 1.0518164, 0.6275527, 1.05175, 16711680, 2, 1
0.6275527, 1.05175, 0.79250083, 1.0506657, 16711680, 2, 1
0.79250083, 1.0506657, 1.1032611, 1.0486397, 16711680, 2, 1
1.1032611, 1.0486397, 1.1876198, 1.0480961, 16711680, 2, 1
1.1876198, 1.0480961, 1.2596634, 1.047641, 16711680, 2, 1
1.2596634, 1.047641, 1.3096391, 1.0473253, 16711680, 2, 1
1.3096391, 1.0473253, 1.4032957, 1.046748, 16711680, 2, 1
1.4032957, 1.046748, 1.9242972, 1.0435361, 16711680, 2, 1
1.9242972, 1.0435361, 2.0273756, 1.0435171, 16711680, 2, 1
1.9242972, 1.0435361, 1.9812802, 1.0431952, 16711680, 2, 1
1.9812802, 1.0431952, 2.0734113, 1.0427995, 16711680, 2, 1
2.0734113, 1.0427995, 2.3246243, 1.0417205, 16711680, 2, 1
2.3246243, 1.0417205, 2.3983137, 1.0414383, 16711680, 2, 1
2.3983137, 1.0414383, 2.5196625, 1.0409778, 16711680, 2, 1
2.5196625, 1.0409778, 2.6951099, 1.0400771, 16711680, 2, 1
2.6951099, 1.0400771, 2.7778977, 1.0396521, 16711680, 2, 1
2.7778977, 1.0396521, 3.4067912, 1.0364465, 16711680, 2, 1
3.4067912, 1.0364465, 3.4931441, 1.0364439, 16711680, 2, 1
3.4931441, 1.0364439, 3.5591243, 1.0364418, 16711680, 2, 1
3.5591243, 1.0364418, 3.6293398, 1.0364397, 16711680, 2, 1
3.4067912, 1.0364465, 3.5129659, 1.0359084, 16711680, 2, 1
3.5129659, 1.0359084, 3.5468866, 1.0357377, 16711680, 2, 1
3.5468866, 1.0357377, 3.6704643, 1.0357199, 16711680, 2, 1
3.6704643, 1.0357199, 3.7248993, 1.0357132, 16711680, 2, 1
3.7248993, 1.0357132, 3.9456826, 1.0356859, 16711680, 2, 1
3.5468866, 1.0357377, 3.6125359, 1.0355028, 16711680, 2, 1
3.6125359, 1.0355028, 3.6202724, 1.0354763, 16711680, 2, 1
3.6202724, 1.0354763, 3.6875009, 1.0352457, 16711680, 2, 1
3.6875009, 1.0352457, 3.7710511, 1.0349592, 16711680, 2, 1
3.7710511, 1.0349592, 3.833055, 1.0347488, 16711680, 2, 1
3.833055, 1.0347488, 3.9266723, 1.034431, 16711680, 2, 1
