Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,      69715,    0.0,      1.05, 2,      69715, -120.0,      1.05, 3,      69715,  120.0,      1.05
"_HVMV_SUB_LSB", 12.47, 1,    7555.46,  -30.8,    1.0494, 2,    7563.92, -150.5,    1.0506, 3,    7563.18,   89.8,    1.0505
"HVMV_SUB_48332", 12.47, 1,    7555.46,  -30.8,    1.0494, 2,    7563.92, -150.5,    1.0506, 3,    7563.18,   89.8,    1.0505
"M1009763", 12.47, 1,    7197.79,  -33.8,   0.99975, 2,    7360.27, -156.4,    1.0223, 3,    7420.37,   92.4,    1.0307
"L2673322", 12.47, 2,    7360.19, -156.4,    1.0223, 0, 0, 0, 0, 0, 0, 0, 0
"M1069148", 12.47, 3,    7404.06,   89.0,    1.0284, 0, 0, 0, 0, 0, 0, 0, 0
"L2673309", 12.47, 3,       7404,   89.0,    1.0284, 0, 0, 0, 0, 0, 0, 0, 0
"M1069588", 12.47, 2,    7289.23, -155.0,    1.0125, 0, 0, 0, 0, 0, 0, 0, 0
"L2804270", 12.47, 2,     7289.2, -155.0,    1.0125, 0, 0, 0, 0, 0, 0, 0, 0
"M3036164", 12.47, 2,    7301.17, -156.1,    1.0141, 0, 0, 0, 0, 0, 0, 0, 0
"L2935553", 12.47, 2,    7299.33, -156.1,    1.0139, 0, 0, 0, 0, 0, 0, 0, 0
"M1209749", 12.47, 2,     7527.6, -151.1,    1.0456, 0, 0, 0, 0, 0, 0, 0, 0
"L2748840", 12.47, 2,    7527.53, -151.1,    1.0456, 0, 0, 0, 0, 0, 0, 0, 0
"M1108264", 12.47, 2,    7472.46, -152.8,    1.0379, 0, 0, 0, 0, 0, 0, 0, 0
"M1108263", 12.47, 2,    7472.14, -152.8,    1.0379, 0, 0, 0, 0, 0, 0, 0, 0
"L3085398", 12.47, 1,    7220.66,  -33.9,    1.0029, 2,    7387.46, -156.4,    1.0261, 3,    7420.34,   92.3,    1.0307
"M1026891", 12.47, 1,    7218.94,  -33.9,    1.0027, 2,    7383.86, -156.4,    1.0256, 3,    7420.32,   92.3,    1.0307
"L3216367", 12.47, 1,    7309.58,  -33.2,    1.0153, 2,    7347.67, -156.1,    1.0206, 3,    7410.27,   92.1,    1.0293
"M1069468", 12.47, 1,    7309.35,  -33.2,    1.0153, 2,     7346.1, -156.1,    1.0204, 3,    7409.85,   92.1,    1.0292
"M1142800", 12.47, 2,    7518.46, -151.5,    1.0443, 0, 0, 0, 0, 0, 0, 0, 0
